rank,city,company,website,state,founded,industry,metro
2130,Charlotte,Accelerate Solar,accelerate-solar.com,North Carolina,2012,Energy,Charlotte
2131,Harrisburg,IntermixIT,intermixit.com,Pennsylvania,2007,IT Management,
2132,Blacklick,Smart 1 Marketing,smart1marketing.com,Ohio,2009,Advertising & Marketing,"Columbus, OH"
2133,Fort Worth,Wellflex Energy Solutions,wellflex.com,Texas,2013,Energy,Dallas
2134,Ashburn,Cynet Systems,cynetsystems.com,Virginia,2010,Human Resources,"Washington, DC"
2135,Chicago,US Software Professionals (USSP),ussp.co,Illinois,2003,Software,Chicago
2136,Milwaukee,Creative Marketing Resources,cmredge.com,Wisconsin,1995,Advertising & Marketing,Milwaukee
2137,Hooksett,Amati Auto Group,http://amatiauto.com,New Hampshire,2009,Retail,
2138,New York City,Blink Fitness,blinkfitness.com,New York,2011,Consumer Products & Services,New York City
2139,New York City,BrandYourself.com,"brandyourself.com, inc.",New York,2009,Software,New York City
2140,Austin,AustinRealEstate.com,austinrealestate.com,Texas,2007,Real Estate,Austin
2141,San Juan,Wovenware,wovenware.com,Puerto Rico,2003,Software,
2142,Scottsdale,GHA Technologies,gha-associates.com,Arizona,1990,Business Products & Services,Phoenix
2143,Ronkonkoma,Luxury Aircraft Solutions,luxury.aero,New York,2011,Logistics & Transportation,New York City
2144,Herndon,Procentrix,procentrix.com,Virginia,2006,IT System Development,"Washington, DC"
2145,Draper,Fieldstone Homes,fieldstonehomes.com,Utah,2010,Real Estate,Salt Lake City
2146,Seven Hills,Futuri Media,futurimedia.com,Ohio,2009,Software,Cleveland
2147,Tallahassee,Inspired Technologies,inspired-tech.net,Florida,2003,IT Management,
2148,Schaumburg,Watterson,wattersonefm.com,Illinois,2001,Business Products & Services,Chicago
2149,Atlanta,Launch Interactive,launchxd.com,Georgia,2011,Advertising & Marketing,Atlanta
2150,Dallas,Solutions by Text,solutionsbytext.com,Texas,1994,Telecommunications,Dallas
2151,St Louis,Chameleon Integrated Services,chameleonis.com,Missouri,2003,Business Products & Services,"St. Louis, MO-IL"
2152,Phoenix,Adopt Technologies,adopttechnologies.com,Arizona,2004,IT Management,Phoenix
2153,Cincinnati,Upside Innovations,upsideinnovations.com,Ohio,2009,Manufacturing,Cincinnati
2154,Northbrook,Endurance,endurancewarranty.com,Illinois,2006,Consumer Products & Services,Chicago
2155,Palm Beach Gardens,Prep Obsessed,prepobsessed.com,Florida,2013,Retail,Miami
2156,San Antonio,RE/MAX Military City,levirodgersgroup.com,Texas,2012,Real Estate,"San Antonio, TX"
2157,Laytonsvile,Transparent BPO,transparentbpo.com,Maryland,2009,Business Products & Services,"Washington, DC"
2158,Troy,United Shore,unitedshore.com,Michigan,1986,Financial Services,Detroit
2159,Phoenix,Iconic,iconicresults.com,Arizona,2014,Advertising & Marketing,Phoenix
2160,Yakima,VitalWare,vitalware.com,Washington,2011,Health,
2161,Indianapolis,SmarterHQ,smarterhq.com,Indiana,2010,Software,"Indianapolis, IN"
2162,Conshohocken,BlackTree Heathcare Consulting,blacktreehealthcareconsulting.com,Pennsylvania,2011,Health,Philadelphia
2163,Fort Myers,Marjac Ventures,skyzone.comfort-myers,Florida,2013,Consumer Products & Services,
2164,Atlanta,REPAY,repay.com,Georgia,2006,Financial Services,Atlanta
2165,Brentwood,Senior Solutions Home Care,seniorsolutionshomecare.com,Tennessee,2010,Health,Nashville
2166,Phoenix,Trapp Technology,trapptechnology.com,Arizona,2007,IT Management,Phoenix
2167,Yardley,Exact Solar,exactsolar.com,Pennsylvania,2005,Energy,Philadelphia
2168,Murray,Cash Network,cashnetwork.com,Utah,2012,Advertising & Marketing,Salt Lake City
2169,Denver,FluentStream Technologies,fluentstream.com,Colorado,2010,Telecommunications,Denver
2170,Miami,On The Map Marketing,onthemapmarketing.com,Florida,2009,Advertising & Marketing,Miami
2171,Webster Groves,Digital Strike Targeted Marketing,digitalstrike.com,Missouri,2010,Advertising & Marketing,"St. Louis, MO-IL"
2172,Morristown,Kraus Marketing,krausmarketing.com,New Jersey,2008,Advertising & Marketing,New York City
2173,San Diego,Foundation Escrow Company,foundationescrow.com,California,2002,Real Estate,San Diego
2174,Atlanta,AchieveIt,achieveit.com,Georgia,2010,Software,Atlanta
2175,San Diego,MFI Medical Equipment,mfimedical.com,California,1982,Health,San Diego
2176,Orange,Bean Sprouts,beansprouts.com,California,2007,Food & Beverage,Los Angeles
2177,Santa Barbara,Nomad,hellonomad.com,California,2012,Consumer Products & Services,"Santa Barbara-Santa Maria-Goleta, CA"
2178,Chester Springs,2120 Creative,2120creative.com,Pennsylvania,2005,Advertising & Marketing,Philadelphia
2179,Fresno,Pacific Gold Marketing,pgmpower.com,California,2012,Construction,
2180,Denver,Two Octobers,twooctobers.com,Colorado,2010,Advertising & Marketing,Denver
2181,West Bend,Delta Defense,uscca.com,Wisconsin,2003,Media,Milwaukee
2182,Perrysburg,Material Handling Services,mhs-corp.com,Ohio,2002,Business Products & Services,
2183,Atlanta,Parkmobile,parkmobileglobal.com,Georgia,2008,Travel & Hospitality,Atlanta
2184,Austin,Jackrabbit Mobile,jackrabbitmobile.com,Texas,2012,Business Products & Services,Austin
2185,Centerville,SUMO Communications,sumocom.com,Utah,2002,Telecommunications,"Ogden-Clearfield, UT"
2186,Newbury Park,JKL Technologies,cos-jkl.com,California,2004,Telecommunications,"Oxnard-Thousand Oaks-Ventura, CA"
2187,Orlando,LMS,logisticsms.net,Florida,1994,Advertising & Marketing,"Orlando, FL"
2188,Cherry Hill,Wodify Technologies,wodify.com,New Jersey,2012,Software,Philadelphia
2189,White Plains,LicenseLogix,licenselogix.com,New York,2011,Business Products & Services,New York City
2190,Parsippany,Atlantic Metro,atlanticmetro.net,New Jersey,2010,IT System Development,New York City
2191,Naperville,Third Party Pet,thirdpartypet.com,Illinois,2011,Business Products & Services,Chicago
2192,Colorado Springs,Peak Dental Services,peakdentalservices.com,Colorado,2008,Health,
2193,Annadale,Mayvin,mayvin.com,Virginia,2008,Government Services,"Washington, DC"
2194,Greenville,Equip Studio,equipstudio.com,South Carolina,1981,Construction,"Greenville-Mauldin-Easley, SC"
2195,Mt Vernon,Durante Rentals,duranterentals.com,New York,2009,Construction,New York City
2196,Orlando,Travlu.com,travlu.com,Florida,2013,Travel & Hospitality,"Orlando, FL"
2197,WASHINGTON,Taoti Creative,taoti.com,District of Columbia,1996,IT System Development,"Washington, DC"
2198,Medina,thomastech,thomastechllc.com,Ohio,2007,Computer Hardware,Cleveland
2199,Torrance,VOX DJs,voxdjs.com,California,1984,Travel & Hospitality,Los Angeles
2200,New York City,Influenster,influenster.com,New York,2010,Advertising & Marketing,New York City
2201,Marietta,The Surface Masters,thesurfacemasters.com,Georgia,2011,Construction,Atlanta
2202,Los Angeles,Coast Medical Service,coastmedicalservice.com,California,1979,Health,Los Angeles
2203,Winter Park,HomeCare Connect,homecareconnect.com,Florida,2011,Insurance,"Orlando, FL"
2204,New York City,SpringServe,springserve.com,New York,2013,Software,New York City
2205,Houston,Amijag,amijag.com,Texas,2000,Retail,Houston
2206,Indianapolis,Her Hair Company,herhaircompany.com,Indiana,2012,Consumer Products & Services,"Indianapolis, IN"
2207,Richardson,TXS Industrial Design,brandstand.com,Texas,1986,Manufacturing,Dallas
2208,Tulsa,PPT Solutions (Oklahoma),pptsolutions.com,Oklahoma,2013,Business Products & Services,"Tulsa, OK"
2209,Chino,Nexgrill Industries,nexgrill.com,California,1993,Consumer Products & Services,"Inland Empire, CA"
2210,Naples,DeAngelis Diamond,deangelisdiamond.com,Florida,1996,Construction,
2211,Omaha,Quality Home Exteriors,qhellc.com,Nebraska,2014,Construction,"Omaha-Council Bluffs, NE-IA"
2212,Columbia,Preventia,mypreventia.com,Tennessee,2010,Security,
2213,Lancaster,Sequinox,sequinox.com,Pennsylvania,2002,Financial Services,"Lancaster, PA"
2214,Lincoln City,Meredith Lodging,meredithlodging.com,Oregon,2005,Real Estate,
2215,King of Prussia,Greenphire,greenphire.com,Pennsylvania,2009,Software,Philadelphia
2216,Waltham,ZoomInfo,zoominfo.com,Massachusetts,2000,Business Products & Services,Boston
2217,Chicago,Wellen Capital,gibraltarca.com,Illinois,2012,Financial Services,Chicago
2218,Houston,AcctTwo,accttwo.com,Texas,2010,Business Products & Services,Houston
2219,Round Rock,Higher State Technology,higher-state.com,Texas,2004,IT Management,Austin
2220,Chandler,Clairvoyant,clairvoyantsoft.com,Arizona,2012,Software,Phoenix
2221,Newport Beach,StaffRehab,staffrehab.com,California,2009,Education,Los Angeles
2222,San Jose,Trinamix,trinamix.com,California,2009,Software,San Jose
2223,Brooklyn,Soundhouse Rentals,soundhousenyc.com,New York,2013,Business Products & Services,New York City
2224,Johns Creek,Premier Logistics Partners,plplogistics.com,Georgia,2011,Logistics & Transportation,Atlanta
2225,Temecula,QC Manufacturing,quietcoolsystems.com,California,2009,Manufacturing,"Inland Empire, CA"
2226,Newport,Boss Logistics,bosslgx.com,Kentucky,2013,Logistics & Transportation,Cincinnati
2227,Phoenix,EXOS,teamexos.com,Arizona,1999,Health,Phoenix
2228,Strongsville,Union Home Mortgage,unionhomemortgage.com,Ohio,1970,Real Estate,Cleveland
2229,Seattle,PayNorthwest,paynorthwest.com,Washington,2007,Human Resources,Seattle
2230,Portland,Zapproved,zapproved.com,Oregon,2008,Government Services,"Portland, OR"
2231,Chandler,CloudNet Group,cloudnetgroup.com,Arizona,2011,Telecommunications,Phoenix
2232,Crown Point,Prime Real Estate,primerealestateusa.com,Indiana,2005,Real Estate,Chicago
2233,Maywood,SignResource,signresource.com,California,1969,Manufacturing,Los Angeles
2234,Waltham,demandDrive,demanddrive.com,Massachusetts,2011,Advertising & Marketing,Boston
2235,Richmond,Brandito,brandito.net,Virginia,2009,Advertising & Marketing,"Richmond, VA"
2236,El Dorado Hills,Patra,patracorp.com,California,2005,Insurance,"Sacramento, CA"
2237,San Carlos,Oportun,oportun.com,California,2005,Financial Services,San Francisco
2238,Clinton,Southeast Foundation & Crawlspace Repair,ncfoundationrepair.com,North Carolina,2010,Construction,
2239,Ocala,Raney's,raneys.com,Florida,2010,Retail,
2240,Norfolk,Host,tparkerhost.com,Virginia,1923,Logistics & Transportation,Virginia Beach
2241,Alexandria,ARServices,arslimited.com,Virginia,2003,Government Services,"Washington, DC"
2242,Taylorville,"CTI (Taylorville, IL)",ctitech.com,Illinois,1998,Telecommunications,
2243,Denver,NEWMEDIA,newmedia.com,Colorado,1996,Advertising & Marketing,Denver
2244,Bee Cave,AMMD,amymyersmd.com,Texas,2010,Health,Austin
2245,Plano,YourCause,yourcause.com,Texas,2008,Software,Dallas
2246,Durham,Adwerx,adwerx.com,North Carolina,2013,Advertising & Marketing,"Durham, NC"
2247,Brunswick,Cable Ties Unlimited,cabletiesunlimited.com,Ohio,2008,Business Products & Services,Cleveland
2248,Rochester,Truth Collective,truthcollective.com,New York,2013,Advertising & Marketing,"Rochester, NY"
2249,Rockland,BCS CallProcessing,bcscallprocessing.com,Massachusetts,2011,IT Management,Boston
2250,Timonium,Global Energy Services,globalenergyservice.us,Maryland,2006,Energy,Baltimore
2251,Brandon,Crunch Fitness West Florida and Atlanta (CR Fitness),crunch.com,Florida,2012,Health,Tampa
2252,Newburyport,Koya Leadership Partners,koyapartners.com,Massachusetts,2004,Human Resources,Boston
2253,Matawan,NJ Spine and Wellness,njspineandwellness.com,New Jersey,2000,Health,New York City
2254,Pasadena,Law Offices of Paul P. Cheng,pprclaw.com,California,2006,Business Products & Services,Los Angeles
2255,Portland,Marmoset Music,marmosetmusic.com,Oregon,2010,Media,"Portland, OR"
2256,Scottsdale,HomeSmart International,hsmove.com,Arizona,2000,Real Estate,Phoenix
2257,Jackson,America's Preferred Home Warranty,aphw.com,Michigan,1999,Real Estate,
2258,Charlotte,ITI Communications,iticommunications.com,North Carolina,2010,IT System Development,Charlotte
2259,Cary,Accelogix,accelogix.com,North Carolina,2012,Logistics & Transportation,"Raleigh, NC"
2260,Chicago,Rise Interactive,riseinteractive.com,Illinois,2004,Advertising & Marketing,Chicago
2261,Austin,Square Cow Moovers,squarecowmovers.com,Texas,2008,Logistics & Transportation,Austin
2262,Stuart,Premier Private Jets,premierprivatejets.com,Florida,2003,Logistics & Transportation,
2263,Colorado Springs,SocialSEO,socialseo.com,Colorado,1997,Advertising & Marketing,
2264,Glendale,JCM Capital Investments,infojcminvestments.com,California,2012,Real Estate,Los Angeles
2265,Clearwater,Protect My Car,protectmycar.com,Florida,2005,Insurance,Tampa
2266,Plano,The Vested Group,thevested.com,Texas,2011,Business Products & Services,Dallas
2267,Dallas,Studio 11 Design,studio11design.com,Texas,2011,Travel & Hospitality,Dallas
2268,Vienna,MicroHealth,microhealthllc.com,Virginia,2010,Health,"Washington, DC"
2269,Jacksonville,JWB Property Management,jwbpropertymanagement.com,Florida,2010,Real Estate,"Jacksonville, FL"
2270,Las Vegas,Playags,playags.com,Nevada,2005,Business Products & Services,"Las Vegas, NV"
2271,Seattle,Trakstar,trakstar.com,Washington,2001,Human Resources,Seattle
2272,Birmingham,Hospicelink,hospicelink.com,Alabama,2011,Health,"Birmingham, AL"
2273,American Fork,eLearningBrothers,elearningbrothers.com,Utah,2009,Software,"Provo-Orem, UT"
2274,Henderson,Design Lab MN,designlabmn.com,Nevada,2014,Manufacturing,"Las Vegas, NV"
2275,Springfield,Money Tree Lead Systems,moneytreeleadsystems.com,Missouri,2013,Software,"Springfield, MO"
2276,Manhattan Beach,OnPrem Solution Partners,onprem.com,California,2013,Business Products & Services,Los Angeles
2277,Los Angeles,The/Studio,thestudio.com,California,2010,Business Products & Services,Los Angeles
2278,Modesto,Citizen,citizencorporation.com,California,2005,Construction,
2279,Miami,RPL International Group,rplsearch.com,Florida,2013,Human Resources,Miami
2280,Lake Forest,Tevora,tevora.com,California,2003,IT Management,Los Angeles
2281,Nashville,Crosslin Technologies,crosslintechnologies.com,Tennessee,2011,IT Management,Nashville
2282,Redwood City,AnchorFree,anchorfree.com,California,2005,Security,San Francisco
2283,New York City,SEI-New York,sei.com/new-york-office,New York,2013,Business Products & Services,New York City
2284,Austin,Service Direct,servicedirect.com,Texas,2006,Advertising & Marketing,Austin
2285,Nashville,Advance Financial,af247.com,Tennessee,1996,Financial Services,Nashville
2286,Tempe,Talk Mobile,talkmobilenet.com,Arizona,2008,Retail,Phoenix
2287,Chicago,Snap36,snap36.com,Illinois,2008,Consumer Products & Services,Chicago
2288,Sandy,Home Base Appraisal Management,homebaseamc.net,Utah,2009,Real Estate,Salt Lake City
2289,Topsfield,Pure Incubation,pureincubation.com,Massachusetts,1997,Advertising & Marketing,Boston
2290,Schaumburg,Sath,sath.com,Illinois,2004,IT Management,Chicago
2291,Novi,Explico Engineering Co.,explico.com,Michigan,2014,Engineering,Detroit
2292,Irvine,PASSCO Companies,passco.com,California,1998,Real Estate,Los Angeles
2293,Denver,Vivax Pros,vivaxpros.com,Colorado,2004,Construction,Denver
2294,Avon,GenTech Associates,gentechassociates.com,Indiana,2011,Government Services,"Indianapolis, IN"
2295,Fremont,DeVine,devineco.com,California,1998,IT System Development,San Francisco
2296,Timonium,ProMD Health,promdhealth.com,Maryland,2011,Health,Baltimore
2297,Jenks,Gateway Mortgage Group,gatewayloan.com,Oklahoma,2000,Financial Services,"Tulsa, OK"
2298,Huntsville,Kord Technologies,kordtechnologies.com,Alabama,2008,Government Services,"Huntsville, AL"
2299,Washington,Kupanda Capital,kupandacapital.com,District of Columbia,2012,Financial Services,"Washington, DC"
2300,Boston,Longford,longfordco.com,Massachusetts,2012,Human Resources,Boston
2301,Martinez,Premier Networx,augustaitguys.com,Georgia,2013,IT Management,
2302,Arlington,Global Defense,globaldefenseinc.net,Virginia,2008,Government Services,"Washington, DC"
2303,Arlington Heights,Imperial Surveillance,imperialcctv.com,Illinois,2007,Security,Chicago
2304,Delray Beach,Nootie,nootie.com,Florida,2009,Consumer Products & Services,Miami
2305,Lancaster,PROTO Construction Management,tonogroup.com,Pennsylvania,2011,Construction,"Lancaster, PA"
2306,Linden,G-Tech Elevator Associates,g-ta.com,New Jersey,2010,Construction,New York City
2307,Jeffersonville,Adaptive Nursing and Healthcare Services,adaptivenursing.com,Indiana,2011,Health,"Louisville/Jefferson County, KY-IN"
2308,Houston,Big State Home Buyers,bigstatehomebuyers.com,Texas,2008,Real Estate,Houston
2309,Hauppauge,W Services Group,wservices.com,New York,2009,Business Products & Services,New York City
2310,Latham,Deep Blue Communications,deepbluecommunications.com,New York,2004,IT Management,"Albany-Schenectady-Troy, NY"
2311,Lake Mary,Power Grid Engineering,powergridengineering.com,Florida,2007,Engineering,"Orlando, FL"
2312,Ashburn,PUNCH Cyber Analytics Group,punchcyber.com,Virginia,2012,Security,"Washington, DC"
2313,Chicago,Vesta Preferred,vestapreferred.com,Illinois,2009,Real Estate,Chicago
2314,Kenilworth,Diversified,diversifiedus.com,New Jersey,1993,Business Products & Services,New York City
2315,Ann Arbor,Human<>Element,human-element.com,Michigan,2005,Software,"Ann Arbor, MI"
2316,Tampa,Skyway Capital Markets,skywaycapitalmarkets.com,Florida,2002,Financial Services,Tampa
2317,Tarzana,Background Screeners of America,backgroundscreenersofamerica.com,California,2010,Business Products & Services,Los Angeles
2318,Saline,Akervall Technologies,akervalltechnologies.com,Michigan,2009,Retail,"Ann Arbor, MI"
2319,Quincy,PharmaLogics Recruiting,pharmalogicsrecruiting.com,Massachusetts,2003,Human Resources,Boston
2320,San Francisco,Media Cause,mediacause.org,California,2013,Advertising & Marketing,San Francisco
2321,Waconia,Laketown Electric,laketownelectric.com,Minnesota,1975,Construction,Minneapolis
2322,Seattle,PageFreezer Software,pagefreezer.com,Washington,2006,Software,Seattle
2323,Independence,Wellness IQ,wellnessiq.net,Ohio,2007,Health,Cleveland
2324,Amarillo,HTeaO,hteao.com,Texas,2013,Food & Beverage,
2325,Wilmington,Tangentia,tangentia.comamerica,Delaware,2009,IT System Development,Philadelphia
2326,New Orleans,COLMEX CONSTRUCTION,colmexconstruction.com,Louisiana,2008,Construction,New Orleans
2327,Blacksburg,Harmonia Holdings Group,harmonia.com,Virginia,1999,Software,
2328,St Louis,Omnigo Software,omnigo.com,Missouri,1995,Software,"St. Louis, MO-IL"
2329,Keene,RK Parisi Enterprises,poshhaus.com,New Hampshire,2012,Retail,
2330,Denver,PlanOmatic,planomatic.com,Colorado,2005,Real Estate,Denver
2331,Sandy,Mac Warehouse,mac-warehouse.com,Utah,2011,Computer Hardware,Salt Lake City
2332,Salem,Strolid,http://strolid.com,New Hampshire,2014,Business Products & Services,Boston
2333,Milford,Leap the Pond,leapthepond.com,Connecticut,2012,Software,
2334,Irvine,TRAFFIK,wearetraffik.com,California,2001,Advertising & Marketing,Los Angeles
2335,San Diego,LeaseLabs,leaselabs.com,California,2008,Advertising & Marketing,San Diego
2336,Watertown,City Brew Tours,citybrewtours.com,Massachusetts,2008,Travel & Hospitality,Boston
2337,Boston,Turbonomic,turbonomic.com,Massachusetts,2009,Software,Boston
2338,Washington,DTIS,dtis-corp.com,District of Columbia,2008,Government Services,"Washington, DC"
2339,Ambler,Clutch Holdings,clutch.com,Pennsylvania,2012,Software,Philadelphia
2340,Bloomfield Hills,Blue Chip Talent,bctalent.com,Michigan,1994,Business Products & Services,Detroit
2341,Huntersvills,The David Hoffman Group,dhgnow.com,North Carolina,2014,Real Estate,Charlotte
2342,Portland,Vetsource,vetsource.com,Oregon,2007,Health,"Portland, OR"
2343,New York City,Lamb Insurance Services,lambfinancialgroup.com,New York,2008,Insurance,New York City
2344,Independence,Linkmedia 360,linkmedia360.com,Ohio,2004,Advertising & Marketing,Cleveland
2345,Houston,First Cornerstone Group,dealsanddollarsclub.com,Texas,2007,Education,Houston
2346,Houston,The Loken Group,thelokengroup.com,Texas,2011,Real Estate,Houston
2347,Luray,K3 Solutions,k3-solutions.com,Virginia,2006,IT System Development,
2348,Cedar Park,Culhane Premier Properties,culhaneproperties.com,Texas,2011,Real Estate,Austin
2349,Tempe,eSquared Communication Consulting,e2cc.com,Arizona,2001,Telecommunications,Phoenix
2350,Huntsville,nLogic,nlogic.com,Alabama,2005,Government Services,"Huntsville, AL"
2351,Atlanta,Search Discovery,searchdiscovery.com,Georgia,2004,Advertising & Marketing,Atlanta
2352,Detroit,Happy Howie's,happyhowies.com,Michigan,2007,Food & Beverage,Detroit
2353,Southfield,Alta Vista Technology,altavistatech.com,Michigan,2014,Software,Detroit
2354,Grandville,Greenback Tax Services,greenbacktaxservices.com,Michigan,2009,Financial Services,"Grand Rapids, MI"
2355,Cincinnati,Nationwide Logistics,nationwidelogistics.net,Ohio,2011,Logistics & Transportation,Cincinnati
2356,Birmingham,PaceRunners,pace-usa.com,Alabama,1998,Logistics & Transportation,"Birmingham, AL"
2357,Solana Beach,HeartCore Business,heartcore business.com,California,2010,Business Products & Services,San Diego
2358,Conshohocken,The Rox Group,rtacabinetstore.com,Pennsylvania,2007,Consumer Products & Services,Philadelphia
2359,Santa Ana,NexInfo,nexinfo.com,California,1999,IT Management,Los Angeles
2360,Dumfries,TIME Systems,timesyst.com,Virginia,2005,Government Services,"Washington, DC"
2361,Winston Salem,4Topps Premium Seating,4topps.com,North Carolina,2011,Manufacturing,
2362,Vancouver,DiscoverOrg,discoverorg.com,Washington,2007,Software,"Portland, OR"
2363,Wilmington,Careerminds,careerminds.com,Delaware,2008,Business Products & Services,Philadelphia
2364,Costa Mesa,GonLED,gonled.com,California,2007,Energy,Los Angeles
2365,Glenview,Sports Made Personal,sportsmadepersonal.com,Illinois,2005,Consumer Products & Services,Chicago
2366,Atlanta,ClickDimensions,clickdimensions.com,Georgia,2010,Software,Atlanta
2367,Washington,New Signature,newsignature.com,District of Columbia,2003,IT Management,"Washington, DC"
2368,Santa Clara,Cardiva Medical,cardivamedical.com,California,2002,Health,San Jose
2369,New York City,Kargo,kargo.com,New York,2003,Advertising & Marketing,New York City
2370,San Diego,Cali Bamboo,calibamboo.com,California,2014,Manufacturing,San Diego
2371,Menomonee Falls,Hurt Electric,hurtelectric.com,Wisconsin,1996,Construction,Milwaukee
2372,American Fork,Sentinel Sales & Management,utahsentinelgroup.com,Utah,2007,Real Estate,"Provo-Orem, UT"
2373,Pembroke Pines,Healthy Harvest,healthyharvest.com,Florida,2009,Retail,Miami
2374,Sunnyvale,Maantic,maantic.com,California,2009,IT System Development,San Jose
2375,Lanham,J Thirteen,jstreetproductions.com,Maryland,2013,Media,"Washington, DC"
2376,Albuquerque,Burgos Group,burgosgroup.com,New Mexico,2006,Government Services,
2377,Clearwater,Digital Media Solutions,digitalmediasolutions.com,Florida,2012,Advertising & Marketing,Tampa
2378,Minneapolis,Ovative Group,ovative.com,Minnesota,2009,Advertising & Marketing,Minneapolis
2379,San Diego,Omni2Max,omni2max.com,California,2007,Government Services,San Diego
2380,Charlotte,Tresata,tresata.com,North Carolina,2011,Software,Charlotte
2381,Vancouver,Pacific Energy Concepts,pecnw.com,Washington,2009,Energy,"Portland, OR"
2382,Las Vegas,Aces Dental,acesdental.com,Nevada,2006,Health,"Las Vegas, NV"
2383,Roswell,Qiigo,qiigo.com,Georgia,2006,Advertising & Marketing,Atlanta
2384,McLean,Trowbridge & Trowbridge,tt-llc.com,Virginia,1996,Government Services,"Washington, DC"
2385,Irvine,Geraci Law Firm,geracillp.com,California,2007,Business Products & Services,Los Angeles
2386,Charlotte,RoundPoint Mortgage Servicing,rpmservicing.com,North Carolina,2007,Financial Services,Charlotte
2387,Berkeley,Steep Hill,steephill.com,California,2008,Health,San Francisco
2388,Commerce,Los Angeles Distributing Company,ladistco.com,California,2012,Food & Beverage,Los Angeles
2389,Erie,National Logistics Network,shipnln.com,Pennsylvania,2010,Logistics & Transportation,
2390,St Louis,ATIS Elevator Inspections,atis.com,Missouri,2013,Business Products & Services,"St. Louis, MO-IL"
2391,Redmond,Aduro,adurolife.com,Washington,2007,Health,Seattle
2392,San Clemente,A.P.EX. PROaupair,proaupair.com,California,2008,Education,Los Angeles
2393,New York City,Lafayette,lafayette-re.com,New York,2011,Real Estate,New York City
2394,Daphne,JMF Solutions,jmfsolutions.net,Alabama,2005,Telecommunications,
2395,Las Vegas,FYZICAL Vegas,fyzicalvegas.com,Nevada,2013,Health,"Las Vegas, NV"
2396,Chicago,Sunset Healthcare Solutions,sunsethcs.com,Illinois,2004,Health,Chicago
2397,Clarendon Hills,FC Hospitality,fcvalet.com fchealthservices.com,Illinois,1998,Travel & Hospitality,Chicago
2398,Cincinnati,Integrity Express Logistics,intxlog.com,Ohio,2007,Logistics & Transportation,Cincinnati
2399,St Petersburg,Inside Sales Solutions,isaless.com,Florida,2010,Advertising & Marketing,Tampa
2400,Farmington Hills,Yochana IT Solutions,yochanait.com,Michigan,2009,Human Resources,Detroit
2401,Chicago,NeonCRM,neoncrm.com,Illinois,2004,Software,Chicago
2402,Tampa,DAS Health,dashealth.com,Florida,2003,Health,Tampa
2403,Jacksonville,Owenby Law,owenbylaw.com,Florida,2004,Business Products & Services,"Jacksonville, FL"
2404,Carrolton,WesternTechSystems,westerntechsystems.com,Texas,2010,Computer Hardware,Dallas
2405,Washington,Soapbox,soapboxsoaps.com,District of Columbia,2010,Consumer Products & Services,"Washington, DC"
2406,Chicago,Signal Digital,signal.co,Illinois,2010,Software,Chicago
2407,Atlanta,Swift Straw II,swiftstraw.com,Georgia,2011,Consumer Products & Services,Atlanta
2408,Chicago,d'aprile properties,daprileproperties.com,Illinois,2010,Real Estate,Chicago
2409,Vienna,Surefire Local,surefirelocal.com,Virginia,2009,Advertising & Marketing,"Washington, DC"
2410,Columbia,Traube Tents & Structures,traubetent.com,Illinois,1938,Construction,"St. Louis, MO-IL"
2411,Allen,Formulife,formulifesupplements.com,Texas,2009,Health,Dallas
2412,New York City,Storebound,storebound.com,New York,2010,Consumer Products & Services,New York City
2413,Bethlehem,SmartAcre,getsmartacre.com,Pennsylvania,2008,Advertising & Marketing,"Allentown-Bethlehem-Easton, PA-NJ"
2414,Newark,NPD Logistics,npdlogistics.com,New Jersey,2011,Logistics & Transportation,New York City
2415,Hinsdale,Intelpath,intelpath.com,Illinois,2010,Telecommunications,Chicago
2416,Aurora,AmeriChem Systems,americhemsystems.com,Illinois,1991,Manufacturing,Chicago
2417,Conshohocken,TargetX.com,targetx.com,Pennsylvania,1998,Advertising & Marketing,Philadelphia
2418,West Chester,STP Investment Services,stpis.com,Pennsylvania,2008,Financial Services,Philadelphia
2419,Charleston,Ceterus,ceterus.com,South Carolina,2008,Software,"Charleston, SC"
2420,Raleigh,Go Fish Digital,gofishdigital.com,North Carolina,2005,Advertising & Marketing,"Raleigh, NC"
2421,Owosso,Josh's Frogs,joshsfrogs.com,Michigan,2002,Retail,
2422,New York City,Contango IT,contangoit.com,New York,2009,IT System Development,New York City
2423,Portsmouth,LEGACY Global Sports,legacyglobalsports.com,New Hampshire,2003,Logistics & Transportation,Boston
2424,Brooklyn,Ombligo,ombligo.com,New York,2004,Computer Hardware,New York City
2425,Arlington,Thrive Internet Marketing Agency,thriveagency.com,Texas,2005,Advertising & Marketing,Dallas
2426,Portland,Obility,obilityb2b.com,Oregon,2011,Advertising & Marketing,"Portland, OR"
2427,Loveland,MTS Nutrition,mtsnutrition.com,Ohio,2011,Health,Cincinnati
2428,Washington,Evans & Chambers Technology,evanschambers.com,District of Columbia,2003,IT System Development,"Washington, DC"
2429,New Orleans,Complete Logistical Services,clogistical.com,Louisiana,2010,Energy,New Orleans
2430,Washington,TeleSolv Consulting,telesolvconsulting.com,District of Columbia,2000,Government Services,"Washington, DC"
2431,Decatur,Falcon Design Build,falcondesignbuild.com,Georgia,2013,Construction,Atlanta
2432,Scottsdale,vCORE Technology Partners,vcoretec.com,Arizona,2010,IT Management,Phoenix
